Fecha,Dia,Visitas,Paginas,Solicitudes,Trafico
2/6/2021,6-Feb-21,7,9,107,37.48
2/7/2021,7-Feb-21,14,19,123,37.37
2/8/2021,8-Feb-21,27,37,229,109.11
2/9/2021,9-Feb-21,30,55,312,228.76
2/10/2021,10-Feb-21,16,27,201,113.26
2/11/2021,11-Feb-21,23,41,380,76.69
2/12/2021,12-Feb-21,22,31,222,31.06
2/13/2021,13-Feb-21,13,15,38,14.9
2/14/2021,14-Feb-21,18,27,234,62.63
2/15/2021,15-Feb-21,17,37,270,278.8
2/16/2021,16-Feb-21,20,28,174,163.23
2/17/2021,17-Feb-21,21,28,238,130.32
2/18/2021,18-Feb-21,15,25,184,142.75
2/19/2021,19-Feb-21,27,70,465,68.15
2/20/2021,20-Feb-21,18,37,156,246.92
2/21/2021,21-Feb-21,14,19,130,34.79
2/22/2021,22-Feb-21,31,71,385,116.83
2/23/2021,23-Feb-21,25,47,269,147.17
2/24/2021,24-Feb-21,23,32,176,78.21
2/25/2021,25-Feb-21,22,36,178,74.78
2/26/2021,26-Feb-21,22,34,249,90.05
2/27/2021,27-Feb-21,8,14,67,61.37
2/28/2021,28-Feb-21,14,17,197,189.29
3/1/2021,1-Mar-21,27,44,336,164.24
3/2/2021,2-Mar-21,17,18,124,113
3/3/2021,3-Mar-21,17,30,296,351.55
3/4/2021,4-Mar-21,21,31,155,133.94
3/5/2021,5-Mar-21,18,33,296,40.09
3/6/2021,6-Mar-21,8,13,86,67.16
3/7/2021,7-Mar-21,13,17,93,42.65
3/8/2021,8-Mar-21,25,61,519,205.24
3/9/2021,9-Mar-21,41,101,766,284.2
3/10/2021,10-Mar-21,21,26,202,154.53
3/11/2021,11-Mar-21,25,40,288,199.71
3/12/2021,12-Mar-21,33,42,237,144.62
3/13/2021,13-Mar-21,13,32,207,134.7
3/14/2021,14-Mar-21,18,44,203,87.33
3/15/2021,15-Mar-21,13,25,232,88.94
3/16/2021,16-Mar-21,23,29,145,126.78
3/17/2021,17-Mar-21,71,114,699,260.89
3/18/2021,18-Mar-21,34,64,321,182.08
3/19/2021,19-Mar-21,20,29,158,299.39
3/20/2021,20-Mar-21,16,25,252,100.18
3/21/2021,21-Mar-21,14,25,127,87.47
3/22/2021,22-Mar-21,29,44,207,174.19
3/23/2021,23-Mar-21,26,58,286,136.7
3/24/2021,24-Mar-21,15,22,111,158.07
3/25/2021,25-Mar-21,13,17,170,124.38
3/26/2021,26-Mar-21,32,51,311,128.62
3/27/2021,27-Mar-21,17,28,148,356.47
3/28/2021,28-Mar-21,29,50,262,115.38
3/29/2021,29-Mar-21,27,37,211,115.45
3/30/2021,30-Mar-21,24,30,200,190.44
3/31/2021,31-Mar-21,21,37,266,309.57
4/1/2021,1-Apr-21,27,41,307,69.95
4/2/2021,2-Apr-21,23,34,141,92.21
4/3/2021,3-Apr-21,4,7,16,8.18
4/4/2021,4-Apr-21,13,15,131,180.08
4/5/2021,5-Apr-21,20,25,144,183.55
4/6/2021,6-Apr-21,24,39,251,229.77
4/7/2021,7-Apr-21,19,44,197,97.46
4/8/2021,8-Apr-21,18,32,219,59.57
4/9/2021,9-Apr-21,30,62,317,56.37
4/10/2021,10-Apr-21,20,31,178,69.58
4/11/2021,11-Apr-21,40,91,532,171.86
4/12/2021,12-Apr-21,40,68,264,418.71
4/13/2021,13-Apr-21,25,33,161,93.52
4/14/2021,14-Apr-21,21,32,241,129.19
4/15/2021,15-Apr-21,23,35,280,91.68
4/16/2021,16-Apr-21,22,28,165,92.45
4/17/2021,17-Apr-21,15,17,100,155.72
4/18/2021,18-Apr-21,13,17,51,83.52
4/19/2021,19-Apr-21,21,36,135,101.56
4/20/2021,20-Apr-21,29,40,216,257.11
4/21/2021,21-Apr-21,24,31,164,76.53
4/22/2021,22-Apr-21,17,28,178,88.87
4/23/2021,23-Apr-21,30,49,221,93.36
4/24/2021,24-Apr-21,18,24,89,218.37
4/25/2021,25-Apr-21,31,56,237,166.78
4/26/2021,26-Apr-21,24,48,409,231.39
4/27/2021,27-Apr-21,23,33,160,122.5
4/28/2021,28-Apr-21,29,45,301,160.44
4/29/2021,29-Apr-21,32,52,417,289.26
4/30/2021,30-Apr-21,25,26,172,108.6
5/1/2021,1-May-21,22,38,317,168.69
5/2/2021,2-May-21,30,44,179,82.23
5/3/2021,3-May-21,52,85,562,200.4
5/4/2021,4-May-21,41,72,407,158.26
5/5/2021,5-May-21,23,31,184,172.79
5/6/2021,6-May-21,12,16,113,93.24
5/7/2021,7-May-21,34,40,251,207.69
5/8/2021,8-May-21,13,15,51,82.83
5/9/2021,9-May-21,39,85,483,258.21
5/10/2021,10-May-21,37,59,215,134.12
5/11/2021,11-May-21,34,47,326,110.3
5/12/2021,12-May-21,28,36,165,141.56
5/13/2021,13-May-21,40,51,223,92.85
5/14/2021,14-May-21,30,43,206,138.76
5/15/2021,15-May-21,11,12,88,66.14
5/16/2021,16-May-21,31,50,209,86.27
5/17/2021,17-May-21,29,69,292,261.16
5/18/2021,18-May-21,31,42,219,114.82
5/19/2021,19-May-21,30,35,178,168.45
5/20/2021,20-May-21,22,35,268,46.71
5/21/2021,21-May-21,76,118,719,184.37
5/22/2021,22-May-21,59,88,383,121.66
5/23/2021,23-May-21,34,42,166,78.49
5/24/2021,24-May-21,37,53,361,143.39
5/25/2021,25-May-21,57,104,388,287.25
5/26/2021,26-May-21,44,68,533,255.94
5/27/2021,27-May-21,47,64,323,73.28
5/28/2021,28-May-21,44,69,372,205.37
5/29/2021,29-May-21,38,47,256,108.42
5/30/2021,30-May-21,42,52,247,158.88
5/31/2021,31-May-21,51,66,307,227.02
6/1/2021,1-Jun-21,40,49,241,155.1
6/2/2021,2-Jun-21,41,63,386,308.45
6/3/2021,3-Jun-21,29,34,168,152.53
6/4/2021,4-Jun-21,43,53,312,208.74
6/5/2021,5-Jun-21,24,42,259,219.25
6/6/2021,6-Jun-21,36,61,247,137.22
6/7/2021,7-Jun-21,48,69,379,303.7
6/8/2021,8-Jun-21,48,60,326,243.71
6/9/2021,9-Jun-21,40,54,311,125.82
6/10/2021,10-Jun-21,47,56,352,249.69
6/11/2021,11-Jun-21,51,61,335,103.08
6/12/2021,12-Jun-21,47,59,206,151.99
6/13/2021,13-Jun-21,48,58,313,164.66
6/14/2021,14-Jun-21,54,85,627,269.03
6/15/2021,15-Jun-21,56,87,471,195.45
6/16/2021,16-Jun-21,34,46,310,144.77
6/17/2021,17-Jun-21,44,58,372,238.33
6/18/2021,18-Jun-21,37,52,298,240.45
6/19/2021,19-Jun-21,28,40,197,43.15
6/20/2021,20-Jun-21,37,50,247,83.52
6/21/2021,21-Jun-21,36,44,258,212.51
